"County","Group","Status Detail","Platform","Search URL","Score (0-100)","Test Duration","Notes"
"Anderson","WORKING","Working — Partial Data","publicportal","http://www.andersoncad.net/","60","41s","Handler working; some data fields may be missing (landValue, taxYear, etc.)"
"Andrews","WORKING","Working — Partial Data","bis","https://esearch.andrewscad.org/","65","150s","Handler working; some data fields may be missing (landValue, taxYear, etc.)"
"Angelina","WORKING","Working — No Results Returned","generic","http://www.angelinacounty.net/departments/tax","10","371s","Handler ran OK; site returned 0 matches for test name (Smith). Live addresses should work."
"Aransas","WORKING","Working — No Results Returned","bis","http://www.aransascad.org/","10","226s","Handler ran OK; site returned 0 matches for test name (Smith). Live addresses should work."
"Archer","WORKING","Working — No Results Returned","generic","https://www.archercad.org/","10","45s","Handler ran OK; site returned 0 matches for test name (Smith). Live addresses should work."
"Armstrong","WORKING","Working — No Results Returned","generic","http://armstrongcad.org/","10","26s","Handler ran OK; site returned 0 matches for test name (Smith). Live addresses should work."
"Atascosa","WORKING","Working — Partial Data","bis","https://esearch.atascosacad.com/","65","153s","Handler working; some data fields may be missing (landValue, taxYear, etc.)"
"Austin","BLOCKED — CAPTCHA","Blocked — Captcha / Bot Protection","bis","https://esearch.austincad.org/","0","5s","Cloudflare challenge"
"Bailey","WORKING","Working — No Results Returned","bis","https://bailey-cad.org/","10","450s","Handler ran OK; site returned 0 matches for test name (Smith). Live addresses should work."
"Bandera","WORKING","Working — Partial Data","bis","https://esearch.banderacounty.org/","65","194s","Handler working; some data fields may be missing (landValue, taxYear, etc.)"
"Bastrop","BLOCKED — CAPTCHA","Blocked — Captcha / Bot Protection","bis","https://esearch.bastropcad.org/","0","6s","Cloudflare challenge"
"Baylor","WORKING","Working — Partial Data","generic","http://www.baylorcad.org","45","144s","Handler working; some data fields may be missing (landValue, taxYear, etc.)"
"Bee","WORKING","Working — Partial Data","bis","https://esearch.beecad.org/","65","139s","Handler working; some data fields may be missing (landValue, taxYear, etc.)"
"Bell","BLOCKED — CAPTCHA","Blocked — Captcha / Bot Protection","bis","https://esearch.bellcad.org/","0","15s","Bot protection — may need manual lookup"
